                                                              IMAGEM                                                               |    MSE     |  BRISQUE  
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_2_(16).png            |    28.2892 |    28.3888
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_2_(12).png            |    28.6037 |    28.6786
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_2_(8).png             |     29.563 |    29.4395
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_2_(4).png             |    30.7968 |    29.8171
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_2_(2).png             |    33.5565 |    30.5939
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_3_(16).png            |    35.0059 |    28.6003
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_3_(12).png            |    36.0349 |    28.8715
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_3_(8).png             |    37.0514 |    29.4264
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_3_(4).png             |    39.6605 |    30.0757
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_4_(16).png            |    40.8232 |    29.2451
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_4_(12).png            |    41.9819 |    29.4631
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_3_(2).png             |    43.1109 |     30.668
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_4_(8).png             |    43.2153 |    30.0728
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_5_(16).png            |    45.7789 |    29.9778
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_5_(12).png            |    47.0413 |    30.0242
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_5_(8).png             |    48.4288 |    30.4822
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_4_(2).png             |    50.6008 |    31.0962
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_5_(4).png             |    53.0199 |    30.9589
C:/Users/Smith Fernandes/Documents/4 - github/2_ArtigoMotorola/python/caso31/output_gamma(0.85)_output_CLAHE_5_(2).png             |    57.2858 |    31.3785
